"Group","Ensembl id","Symbol","Entrezgene id","Chr","Type","Description"
"Upregulated","BRA001208"," ",NA,"A03","C","AT3G66652 (E=1e-128) | fip1 motif-containing protein "
"Upregulated","BRA004512"," ",NA,"A05","C","AT2G46740 (E=2e-304) | FAD-binding domain-containing protein "
"Upregulated","BRA004663"," ",NA,"A05","C","AT2G41960 (E=4e-231) | unknown protein "
"Upregulated","BRA005238"," ",NA,"A05","C","AT2G36870 (E=7e-165) | xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative "
"Upregulated","BRA007814"," ",103842207,"A09","C","AT2G25170 (E=0.0) PKL, GYM, CHD3, CHR6, SSL2 | PKL (PICKLE)"
"Upregulated","BRA007816"," ",103842208,"A09","C","AT2G25140 (E=0.0) HSP98.7, CLPB-M, CLPB4 | CLPB4 (CASEIN LYTIC PROTEINASE B4)"
"Upregulated","BRA008561"," ",NA,"A10","C","AT5G17330 (E=3e-266) GAD, GAD1 | GAD"
"Upregulated","BRA010652"," ",103835090,"A08","C","AT4G39850 (E=0.0) PXA1, PED3, CTS | PXA1 (PEROXISOMAL ABC TRANSPORTER 1)"
"Upregulated","BRA011346"," ",NA,"A01","C","AT4G32420 (E=6e-101) | peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein "
"Upregulated","BRA011551"," ",NA,"A01","C","AT4G34670 (E=5e-119) | 40S ribosomal protein S3A (RPS3aB) "
"Upregulated","BRA011712"," ",NA,"A01","C","AT4G36860 (E=5e-264) | zinc ion binding "
"Upregulated","BRA013707"," ",103861182,"A01","C","AT4G23540 (E=0.0) | binding "
"Upregulated","BRA014918"," ",NA,"A07","C",""
"Upregulated","BRA015436"," ",NA,"A10","C","AT5G13000 (E=0.0) ATGSL12, gsl12 | ATGSL12 (glucan synthase-like 12)"
"Upregulated","BRA016615"," ",NA,"A08","C","AT1G17190 (E=3e-114) ATGSTU26, GSTU26 | ATGSTU26 (ARABIDOPSIS THALIANA GLUTATHIONE S-TRANSFERASE TAU 26)"
"Upregulated","BRA016689"," ",NA,"A08","C","AT1G14670 (E=5e-300) | endomembrane protein 70, putative "
"Upregulated","BRA018689"," ",NA,"A06","C","AT1G07770 (E=6e-069) RPS15A | RPS15A (ribosomal protein s15a)"
"Upregulated","BRA018986"," ",NA,"A06","C","AT1G52760 (E=8e-176) | esterase/lipase/thioesterase family protein "
"Upregulated","BRA019282"," ",NA,"A03","C","AT4G23650 (E=4e-206) CDPK6, CPK3 | CDPK6 (CALCIUM-DEPENDENT PROTEIN KINASE 6)"
"Upregulated","BRA020643"," ",NA,"A02","C","AT1G06900 (E=9e-092) | catalytic/ metal ion binding / metalloendopeptidase/ zinc ion binding "
"Upregulated","BRA021074"," ",NA,"A08","C",""
