ID,Prompt,Timestamp,Complexity,Style,Color Scheme,Background,Language,Filename
1767922433418,"AT3G06590 (E=9e-070) | transcription factor",2026-01-09T01:33:53.418Z,Expert,Default,Default,Pure White,English,at3g06590__e_9e_070____transcr_1767922433418.png
1767922420289,"invert the color sceme on this figure so it has a white background with black text",2026-01-09T01:33:40.289Z,Expert,Default,Default,Pure White,English,invert_the_color_sceme_on_this_1767922420289.png
1767921317504,"AT1G67740 (E=5e-053) PSBY",2026-01-09T01:15:17.504Z,Expert,Default,Default,Pure White,English,at1g67740__e_5e_053__psby_1767921317504.png
1767922387188,"AT3G04790 (E=8e-114) | ribose 5-phosphate isomerase-related",2026-01-09T01:33:07.188Z,Expert,Default,Default,Pure White,English,at3g04790__e_8e_114____ribose__1767922387188.png
1767922342999,"AT2G43030 (E=4e-114) | ribosomal protein L3 family protein",2026-01-09T01:32:22.999Z,Expert,Default,Default,Pure White,English,at2g43030__e_4e_114____ribosom_1767922342999.png
1767914811182,"AT4G29090 (E=6e-060) | reverse transcriptase",2026-01-08T23:26:51.182Z,Expert,Default,Default,Pure White,English,at4g29090__e_6e_060____reverse_1767914811182.png
1767921638860,"AT5G59030 (E=8e-060) COPT1 | COPT1 (copper transporter 1)",2026-01-09T01:20:38.860Z,Expert,Default,Default,Pure White,English,at5g59030__e_8e_060__copt1___c_1767921638860.png
1767921886318,"AT1G07320 (E=3e-118) RPL4 | RPL4",2026-01-09T01:24:46.318Z,Expert,Default,Default,Pure White,English,at1g07320__e_3e_118__rpl4___rp_1767921886318.png
1767921818732,"AT5G24165 (E=9e-018) | unknown protein",2026-01-09T01:23:38.732Z,Expert,Default,Default,Pure White,English,at5g24165__e_9e_018____unknown_1767921818732.png
1767921760872,"AT4G30460 (E=2e-008) | glycine-rich protein",2026-01-09T01:22:40.872Z,Expert,Default,Default,Pure White,English,at4g30460__e_2e_008____glycine_1767921760872.png
1767921702660,"AT2G44260 (E=6e-278) | unknown protein",2026-01-09T01:21:42.660Z,Expert,Default,Default,Pure White,English,at2g44260__e_6e_278____unknown_1767921702660.png
1767921576918,"AT5G18550 (E=1e-156) | nucleic acid binding / zinc ion binding",2026-01-09T01:19:36.918Z,Expert,Default,Default,Pure White,English,at5g18550__e_1e_156____nucleic_1767921576918.png
1767921509109,"AT4G27150 (E=6e-049) | 2S seed storage protein 2 / 2S albumin storage protein / NWMU2-2S albumin 2",2026-01-09T01:18:29.109Z,Expert,Default,Default,Pure White,English,at4g27150__e_6e_049____2s_seed_1767921509109.png
1767921463742,"AT4G24510 (E=1e-177) CER2",2026-01-09T01:17:43.742Z,Expert,Default,Default,Pure White,English,at4g24510__e_1e_177__cer2_1767921463742.png
1767921408006,"AT5G38430 (E=1e-016) | ribulose bisphosphate carboxylase small chain 1B / RuBisCO small subunit 1B (RBCS-1B) (ATS1B)",2026-01-09T01:16:48.006Z,Expert,Default,Default,Pure White,English,at5g38430__e_1e_016____ribulos_1767921408006.png
1767921363549,"AT1G72790 (E=3e-043) | hydroxyproline-rich glycoprotein family protein",2026-01-09T01:16:03.549Z,Expert,Default,Default,Pure White,English,at1g72790__e_3e_043____hydroxy_1767921363549.png
1767921312782,"Summarize all that is known about the gene in this table using TAIR, put the gene name and other standard database decriptions at the top using thalemine, SUBA, alphafold and other bioinformatic resources to illustrate the GO biological, GO molecular cellular, GO cellular site, and tissue and organ specific.  use black text on a white background, and use red, blue, green, yellow, purple and gradients",2026-01-09T01:15:12.782Z,Expert,Default,Default,Pure White,English,summarize_all_that_is_known_ab_1767921312782.png
1767921210776,"AT5G11070 (E=7e-057) | unknown protein",2026-01-09T01:13:30.776Z,Expert,Default,Default,Pure White,English,at5g11070__e_7e_057____unknown_1767921210776.png
1767921132944,"AT5G20670 (E=6e-067) | unknown protein",2026-01-09T01:12:12.944Z,Expert,Default,Default,Pure White,English,at5g20670__e_6e_067____unknown_1767921132944.png
1767921079218,"AT2G34890 (E=1e-279) | CTP synthase",2026-01-09T01:11:19.218Z,Expert,Default,Default,Pure White,English,at2g34890__e_1e_279____ctp_syn_1767921079218.png
1767921022754,"AT5G66650 (E=5e-158) | unknown protein",2026-01-09T01:10:22.754Z,Expert,Default,Default,Pure White,English,at5g66650__e_5e_158____unknown_1767921022754.png
1767920691583,"AT2G40610 (E=2e-137) ATEXPA8",2026-01-09T01:04:51.583Z,Expert,Default,Default,Pure White,English,at2g40610__e_2e_137__atexpa8_1767920691583.png
1767920214167,"AT5G64770 (E=7e-017) | unknown protein",2026-01-09T00:56:54.167Z,Expert,Default,Default,Pure White,English,at5g64770__e_7e_017____unknown_1767920214167.png
1767920810744,"AT2G21185 (E=7e-031) | unknown protein",2026-01-09T01:06:50.744Z,Expert,Default,Default,Pure White,English,at2g21185__e_7e_031____unknown_1767920810744.png
1767920868246,"AT3G27830 (E=2e-053) RPL12-A",2026-01-09T01:07:48.246Z,Expert,Default,Default,Pure White,English,at3g27830__e_2e_053__rpl12_a_1767920868246.png
1767920753541,"AT2G18550 (E=8e-077) HB-2",2026-01-09T01:05:53.541Z,Expert,Default,Default,Pure White,English,at2g18550__e_8e_077__hb_2_1767920753541.png
1767920630447,"AT1G29670 (E=3e-175) | GDSL-motif lipase/hydrolase family protein",2026-01-09T01:03:50.447Z,Expert,Default,Default,Pure White,English,at1g29670__e_3e_175____gdsl_mo_1767920630447.png
1767920577682,"AT3G48510 (E=9e-112) | unknown protein",2026-01-09T01:02:57.682Z,Expert,Default,Default,Pure White,English,at3g48510__e_9e_112____unknown_1767920577682.png
1767920527260,"AT5G59670 (E=0.0) | leucine-rich repeat protein kinase",2026-01-09T01:02:07.260Z,Expert,Default,Default,Pure White,English,at5g59670__e_0_0____leucine_ri_1767920527260.png
1767920477198,"AT1G67740 (E=1e-047) PSBY",2026-01-09T01:01:17.198Z,Expert,Default,Default,Pure White,English,at1g67740__e_1e_047__psby_1767920477198.png
1767920409895,"AT5G20410 (E=8e-255) MGD2",2026-01-09T01:00:09.895Z,Expert,Default,Default,Pure White,English,at5g20410__e_8e_255__mgd2_1767920409895.png
1767920362169,"AT2G25150 (E=3e-208) | transferase family protein",2026-01-09T00:59:22.169Z,Expert,Default,Default,Pure White,English,at2g25150__e_3e_208____transfe_1767920362169.png
1767920315957,"AT1G79330 (E=1e-158) AMC6",2026-01-09T00:58:35.957Z,Expert,Default,Default,Pure White,English,at1g79330__e_1e_158__amc6_1767920315957.png
1767920267222,"AT1G72230 (E=4e-056) | plastocyanin-like domain-containing protein",2026-01-09T00:57:47.222Z,Expert,Default,Default,Pure White,English,at1g72230__e_4e_056____plastoc_1767920267222.png
1767919661289,"AT5G67360 (E=0.0) ARA12 | ARA12",2026-01-09T00:47:41.289Z,Expert,Default,Default,Pure White,English,at5g67360__e_0_0__ara12___ara1_1767919661289.png
1767920155354,"U1 spliceosomal RNA",2026-01-09T00:55:55.354Z,Expert,Default,Default,Pure White,English,u1_spliceosomal_rna_1767920155354.png
