bra_id,BRA_id,in_scent_data,in_radiation_data,tier,routes,evidence
Bra000133,BRA000133,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra000179,BRA000179,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra000568,BRA000568,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra000630,BRA000630,1,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra000631,BRA000631,1,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra000727,BRA000727,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra000738,BRA000738,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra000864,BRA000864,1,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra001405,BRA001405,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra001516,BRA001516,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra001552,BRA001552,1,1,1,apocarotenoid,T1 Pfam:PF03055 carotenoid cleavage dioxygenase (CCD; caveat: incl. NCED/ABA) | T2 GO:0010436 carotenoid dioxygenase activity
Bra001555,BRA001555,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra001557,BRA001557,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra001731,BRA001731,0,1,2,ester;fatty_acid_GLV,T2 GO:0080032 methyl jasmonate esterase activity | T2 GO:0009694 jasmonic acid metabolic process | T2 GO:0080031 methyl salicylate esterase activity
Bra001832,BRA001832,1,1,2,terpenoid,T2 GO:0016114 terpenoid biosynthetic process
Bra001988,BRA001988,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra002026,BRA002026,0,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra002165,BRA002165,1,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra002468,BRA002468,1,1,2,terpenoid,T2 GO:0016114 terpenoid biosynthetic process
Bra002485,BRA002485,1,1,2,benzenoid_phenylpropanoid,T2 GO:0009699 phenylpropanoid biosynthetic process
Bra002714,BRA002714,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0016102 diterpenoid biosynthetic process | T2 GO:0010334 sesquiterpene synthase activity | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra002919,BRA002919,1,1,1,ester,T1 Pfam:PF03492 SABATH methyltransferase (methyl-benzoate/-salicylate/-jasmonate)
Bra002962,BRA002962,1,1,2,ester,T2 Pfam:PF02458 BAHD acyltransferase (volatile esters; broad family)
Bra002967,BRA002967,0,1,1,terpenoid,"T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0010333 terpene synthase activity"
Bra002968,BRA002968,0,1,1,terpenoid,"T1 Pfam:PF01397 terpene synthase (TPS, N-term) | T1 Pfam:PF03936 terpene synthase (TPS, C-term) | T2 GO:0016114 terpenoid biosynthetic process | T2 GO:0051762 sesquiterpene biosynthetic process | T2 GO:0010333 terpene synthase activity"
