pathway_id	brapa_gene	arabidopsis_agi	symbol
ath04144	Bra000005	AT2G37550	AGD7
ath00073	Bra000014	AT2G37700	AT2G37700
ath01110	Bra000014	AT2G37700	AT2G37700
ath04136	Bra000023	AT2G37840	AT2G37840
ath04142	Bra000035	AT2G38020	VCL1
ath04145	Bra000035	AT2G38020	VCL1
ath04148	Bra000035	AT2G38020	VCL1
ath00061	Bra000037	AT2G38040	CAC3
ath00620	Bra000037	AT2G38040	CAC3
ath00640	Bra000037	AT2G38040	CAC3
ath01100	Bra000037	AT2G38040	CAC3
ath01110	Bra000037	AT2G38040	CAC3
ath01200	Bra000037	AT2G38040	CAC3
ath01212	Bra000037	AT2G38040	CAC3
ath04016	Bra000052	AT2G38310	PYL4
ath04075	Bra000052	AT2G38310	PYL4
ath00250	Bra000060	AT2G38400	AGT3
ath00260	Bra000060	AT2G38400	AGT3
ath00270	Bra000060	AT2G38400	AGT3
ath00280	Bra000060	AT2G38400	AGT3
ath00630	Bra000060	AT2G38400	AGT3
ath01100	Bra000060	AT2G38400	AGT3
ath01110	Bra000060	AT2G38400	AGT3
ath01200	Bra000060	AT2G38400	AGT3
ath01210	Bra000060	AT2G38400	AGT3
ath04016	Bra000064	AT2G38470	WRKY33
ath04626	Bra000064	AT2G38470	WRKY33
ath00240	Bra000085	AT2G38680	AT2G38680
ath01100	Bra000085	AT2G38680	AT2G38680
ath01232	Bra000085	AT2G38680	AT2G38680
ath03082	Bra000097	AT2G38810	HTA8
ath04075	Bra000105	AT2G38910	CPK20
ath04626	Bra000105	AT2G38910	CPK20
ath00073	Bra000109	AT2G38995	AT2G38995
ath01110	Bra000109	AT2G38995	AT2G38995
ath00940	Bra000113	AT2G39040	AT2G39040
ath01100	Bra000113	AT2G39040	AT2G39040
ath01110	Bra000113	AT2G39040	AT2G39040
ath03013	Bra000126	AT2G39260	AT2G39260
ath03015	Bra000126	AT2G39260	AT2G39260
ath00564	Bra000127	AT2G39290	PGP1
