brp:103844700	CDS	A10:7981..9106	uncharacterized protein LOC103844700
brp:103844699	CDS	A10:complement(9768..10569)	cytochrome c oxidase-assembly factor COX23, mitochondrial
brp:103844698	CDS	A10:complement(10558..12336)	pentatricopeptide repeat-containing protein At1g02150
brp:103844697	CDS	A10:complement(12390..16066)	dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase
brp:103844695	CDS	A10:16159..17261	protein mago nashi homolog
brp:103844693	CDS	A10:complement(17621..21767)	protein VASCULAR ASSOCIATED DEATH 1, chloroplastic isoform X1
brp:103844694	CDS	A10:21733..25361	COP9 signalosome complex subunit 7-like isoform X1
brp:117129137	CDS	A10:complement(23170..24562)	uncharacterized protein LOC117129137
brp:103844692	CDS	A10:32194..36388	squamosa promoter-binding-like protein 8
brp:117129402	ncRNA	A10:40903..41009	small nucleolar RNA R71
brp:117129139	CDS	A10:43038..46693	uncharacterized protein LOC117129139
brp:103844691	CDS	A10:46930..60035	CCR4-NOT transcription complex subunit 1-like isoform X1
brp:117129000	CDS	A10:complement(59796..61100)	LOW QUALITY PROTEIN: UDP-glucuronate 4-epimerase 3
brp:103844690	CDS	A10:64253..65391	uncharacterized protein LOC103844690
brp:103844689	CDS	A10:complement(65516..67061)	pentatricopeptide repeat-containing protein At1g01970
brp:103844688	CDS	A10:complement(74477..79800)	phospholipase D beta 1
brp:103844687	CDS	A10:complement(80535..83546)	subtilisin-like protease SBT1.1
brp:103844685	CDS	A10:complement(88581..90048)	uncharacterized protein LOC103844685
brp:103844684	CDS	A10:complement(91583..92650)	L-arabinokinase-like
brp:103844682	CDS	A10:92941..96471	protein CELLULOSE SYNTHASE INTERACTIVE 3
brp:103844683	CDS	A10:complement(96407..98251)	(+)-neomenthol dehydrogenase isoform X1
brp:103844680	CDS	A10:complement(98306..104146)	K(+) efflux antiporter 1, chloroplastic-like
brp:103844679	CDS	A10:complement(106917..112860)	K(+) efflux antiporter 1, chloroplastic-like
brp:103844678	CDS	A10:complement(112394..119171)	uncharacterized protein LOC103844678 isoform X2
