Gene stable ID,Transcript stable ID,Transcript name,Gene description,GOSlim GOA Accession(s),GOSlim GOA Description,BrassEnsembl ID
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0005575,cellular_component,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0016020,membrane,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0003674,molecular_function,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0005488,binding,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0000166,nucleotide binding,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0003824,catalytic activity,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0016740,transferase activity,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0016301,kinase activity,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0005886,plasma membrane,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0008150,biological_process,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0009987,cellular process,
Bra000219,Bra000219.1,,AT2G41210 (E=0.0) PIP5K5 | PIP5K5 (PHOSPHATIDYLINOSITOL- 4-PHOSPHATE 5-KINASE 5); 1-phosphatidylinositol-4-phosphate 5-kinase ,GO:0008152,metabolic process,
